name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
BULB LED TRONIC 7W B22 DL LE 0722-DL,BLT5W1,code128,TRONIC,HW001,U002,U002,U002,67,100,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 9W B22 DL LE 0922-DL,BLT5W2,code128,TRONIC,HW001,U002,U002,U002,69,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 12W B22 DL LE 1222-DL,BLT5W3,code128,TRONIC,HW001,U002,U002,U002,93,200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 5W E27 DL LE 0527-DL,BLT5W3,code128,TRONIC,HW001,U002,U002,U002,66,100,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 7W E27 DL LE 0727-DL,BLT5W4,code128,TRONIC,HW001,U002,U002,U002,67,100,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 9W E27 DL LE 0927-DL,BLT5W5,code128,TRONIC,HW001,U002,U002,U002,69,150,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 12W E27 DL LE 1227-DL,BLT5W6,code128,TRONIC,HW001,U002,U002,U002,93,200,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 20W B22 DL LE 2022-DL,BLT5W7,code128,TRONIC,HW001,U002,U002,U002,191,250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 30W B22 DL LE 3022-DL,BLT5W8,code128,TRONIC,HW001,U002,U002,U002,296,350,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULB LED TRONIC 40W B22 DL LE 4022-DL,BLT5W9,code128,TRONIC,HW001,U002,U002,U002,483,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC AVS30 AIR CONDITION VS AV30,BLT5W10,code128,TRONIC,HW001,U002,U002,U002,3103,5500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC ADJUSTABLE VOLTAGE PROTECTOR 40A VS DR40,BLT5W11,code128,TRONIC,HW001,U002,U002,U002,1810,3000,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC ADJUSTABLE VOLTAGE PROTECTOR 63A VS DR63,BLT5W12,code128,TRONIC,HW001,U002,U002,U002,1853,3500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC BELL PUSH SWITCH WATER PROOF TR 3180-WP,BLT5W13,code128,TRONIC,HW001,U002,U002,U002,358,800,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 13A SWITCH SOCKET WATER PROOF TR 4113-WP,BLT5W14,code128,TRONIC,HW001,U002,U002,U002,595,950,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC 13A SWITCH SOCKET TWIN WATER PROOF TP,BLT5W15,code128,TRONIC,HW001,U002,U002,U002,1638,1350,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC EXTENSION 6WAY BLISTER 1.25MM TRK 7866,BLT5W16,code128,TRONIC,HW001,U002,U002,U002,957,1500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC EXTENSION 6WAY BLISTER 1.25MM TRK 7866BLACK,T1E4WB,code128,TRONIC,HW001,U002,U002,U002,957,1500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC EXTENSION 4WAY BLISTER 1.25MM TRK 7864,T1E4WB1,code128,TRONIC,HW001,U002,U002,U002,698,1300,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC EXTENSION 4WAY BLACK BLISTER 1.25MM TRK 7864BK,T1E4WB2,code128,TRONIC,HW001,U002,U002,U002,698,1300,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTENSION 4WAY SMART PROTECTION TRONIC EC SP04,E4SPTS,code128,TRONIC,HW001,U002,U002,U002,1190,1450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTENSION 6WAY SMART PROTECTION TRONIC EC SP06,E4SPTS,code128,TRONIC,HW001,U002,U002,U002,1276,1850,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTENSION TRONIC TR 1104,E4SPTS1,code128,TRONIC,HW001,U002,U002,U002,948,1450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
